Slot,Folder,File name pattern,Aspect ratio,Sizes (px wide),Role,Current source,Alt text,Used on,Custom image prompt
"p:exhibition-stand-printing-dubai:hero","website/assets/images/products/exhibition-stand-printing-dubai/","exhibition-stand-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Custom exhibition stand with printed fabric walls, lightbox and branded counter","/exhibition-stand-printing-dubai/","Realistic photograph of a space-only exhibition stand for a fictional medical technology company, white and teal printed tension fabric walls, a backlit fabric lightbox wall, printed counter wrap and floor graphic, exhibition hall lighting, visitors nearby, three-quarter wide angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:exhibition-stand-printing-dubai:detail","website/assets/images/products/exhibition-stand-printing-dubai/","exhibition-stand-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Foamex graphic panel fixed inside a white shell scheme wall frame","/exhibition-stand-printing-dubai/","Realistic close-up photograph of a printed foamex graphic panel fitted inside a white aluminium shell scheme wall frame at an exhibition, crisp matte print and the panel edge meeting the frame, hall lighting from above, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:exhibition-stand-printing-dubai:application","website/assets/images/products/exhibition-stand-printing-dubai/","exhibition-stand-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Visitors talking with staff at a branded shell scheme stand in an exhibition hall","/exhibition-stand-printing-dubai/","Realistic photograph of visitors chatting with exhibitors at a branded shell scheme stand for a fictional property developer at a Dubai exhibition, printed wall panels, fascia name board and counter wrap visible, busy aisle behind, natural hall lighting, eye-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:exhibition-stand-printing-dubai:production","website/assets/images/products/exhibition-stand-printing-dubai/","exhibition-stand-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:sign-fabrication)","Workshop fabrication of signage","/exhibition-stand-printing-dubai/","Photorealistic commercial photograph of exhibition stands production: Workshop fabrication of signage — acrylic, aluminium composite panels and letters. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:pop-up-display-dubai:hero","website/assets/images/products/pop-up-display-dubai/","pop-up-display-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Curved fabric pop-up display with end panels and a wrapped case counter","/pop-up-display-dubai/","Realistic product photograph of a curved 3 × 3 fabric pop-up display with printed end panels in purple and white for a fictional software company, a wheeled case wrapped as a counter in front, clean light grey studio floor, soft even lighting, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:pop-up-display-dubai:detail","website/assets/images/products/pop-up-display-dubai/","pop-up-display-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Collapsible aluminium pop-up frame partly expanded with magnetic bars attached","/pop-up-display-dubai/","Realistic close-up photograph of a collapsible aluminium pop-up display frame partly expanded, showing the lattice joints and magnetic channel bars, on a carpeted exhibition floor, soft hall lighting, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:pop-up-display-dubai:application","website/assets/images/products/pop-up-display-dubai/","pop-up-display-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Staff member beside a pop-up display at a university recruitment fair","/pop-up-display-dubai/","Realistic photograph of a staff member talking with students in front of a straight fabric pop-up display for a fictional engineering firm at a university careers fair in Dubai, literature on the case counter, bright indoor lighting, eye-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:pop-up-display-dubai:production","website/assets/images/products/pop-up-display-dubai/","pop-up-display-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:quality-check)","Quality control","/pop-up-display-dubai/","Photorealistic commercial photograph of pop-up displays production: Quality control — checking a printed proof against a colour swatch under lighting. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:stage-branding-dubai:hero","website/assets/images/products/stage-branding-dubai/","stage-branding-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Conference stage with printed fascia, branded lectern and screen surround graphics","/stage-branding-dubai/","Realistic event photograph of a conference stage in a Dubai hotel ballroom with a printed matte fabric fascia, branded lectern wrap and foamex surround framing a large LED screen, all in navy and gold for a fictional business summit, stage lighting, empty seats in the foreground, wide angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:stage-branding-dubai:detail","website/assets/images/products/stage-branding-dubai/","stage-branding-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a printed vinyl wrap on the front of a stage lectern","/stage-branding-dubai/","Realistic close-up photograph of the front of a stage lectern wrapped in printed matte vinyl with a fictional event logo, microphone on top, soft stage lighting with a dark background, shallow depth of field, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:stage-branding-dubai:application","website/assets/images/products/stage-branding-dubai/","stage-branding-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Speaker presenting on a branded stage to a seated conference audience","/stage-branding-dubai/","Realistic photograph taken from the audience of a speaker presenting on a branded conference stage, printed fascia, cut-out foamex logo letters and screen surround visible, silhouettes of attendees in the foreground, warm stage lighting, eye-level wide angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:stage-branding-dubai:production","website/assets/images/products/stage-branding-dubai/","stage-branding-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vinyl-installation)","Installer applying printed vinyl film to glass or wall with a squeegee","/stage-branding-dubai/","Photorealistic commercial photograph of stage branding production: Installer applying printed vinyl film to glass or wall with a squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:acrylic-signage-dubai:hero","website/assets/images/products/acrylic-signage-dubai/","acrylic-signage-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Clear acrylic meeting room sign with white printed lettering on brushed stand-offs","/acrylic-signage-dubai/","Realistic commercial photograph of a clear reverse-printed acrylic meeting room sign with white lettering, mounted on brushed steel stand-offs beside a glass door in a bright Dubai office, soft daylight, slight three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding"
"p:acrylic-signage-dubai:detail","website/assets/images/products/acrylic-signage-dubai/","acrylic-signage-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a polished acrylic edge and brushed steel stand-off on a white wall","/acrylic-signage-dubai/","Macro product photograph of a 10 mm clear acrylic panel corner showing a flame-polished edge and a brushed stainless stand-off cap against a white painted wall, shallow depth of field, soft side lighting, fictional brand name, no real logos, no Flash Print Solution branding"
"p:acrylic-signage-dubai:application","website/assets/images/products/acrylic-signage-dubai/","acrylic-signage-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Frosted acrylic directory board beside a lift lobby in a modern office corridor","/acrylic-signage-dubai/","Realistic interior photograph of a frosted acrylic floor directory board with grey printed text and arrows, mounted on stand-offs beside lift doors in a Dubai office tower lobby, clean architectural lighting, eye-level view, fictional brand name, no real logos, no Flash Print Solution branding"
"p:acrylic-signage-dubai:production","website/assets/images/products/acrylic-signage-dubai/","acrylic-signage-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:laser-cutter)","CO2 laser cutter cutting or engraving acrylic / wood sheet in the workshop","/acrylic-signage-dubai/","Photorealistic commercial photograph of acrylic sign boards production: CO2 laser cutter cutting or engraving acrylic / wood sheet in the workshop. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:office-name-boards-dubai:hero","website/assets/images/products/office-name-boards-dubai/","office-name-boards-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Brushed aluminium company name board with black lettering beside a timber office door","/office-name-boards-dubai/","Realistic commercial photograph of a brushed aluminium company name board with black engraved lettering and a small logo, fixed beside a dark timber office entrance door in a Dubai office tower corridor, even soft lighting, eye-level view, fictional brand name, no real logos, no Flash Print Solution branding"
"p:office-name-boards-dubai:detail","website/assets/images/products/office-name-boards-dubai/","office-name-boards-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of an engraved brass-finish door plate with black paint-filled lettering","/office-name-boards-dubai/","Macro photograph of a brass-finish door name plate with laser-engraved, black paint-filled name and job title text, fine brushed grain visible, warm directional light, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding"
"p:office-name-boards-dubai:application","website/assets/images/products/office-name-boards-dubai/","office-name-boards-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Row of matching door name plates along a bright office corridor with glass walls","/office-name-boards-dubai/","Realistic interior photograph of a bright office corridor with a row of matching brushed silver door name plates at equal height beside timber doors and frosted glass partitions, Dubai office setting, natural daylight, one-point perspective, fictional brand name, no real logos, no Flash Print Solution branding"
"p:office-name-boards-dubai:production","website/assets/images/products/office-name-boards-dubai/","office-name-boards-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:sign-fabrication)","Workshop fabrication of signage","/office-name-boards-dubai/","Photorealistic commercial photograph of office name boards production: Workshop fabrication of signage — acrylic, aluminium composite panels and letters. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:reception-signage-dubai:hero","website/assets/images/products/reception-signage-dubai/","reception-signage-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Black acrylic 3D logo letters on a light oak panel behind a reception desk","/reception-signage-dubai/","Realistic commercial photograph of black matt acrylic 3D logo letters floating on concealed studs over a light oak slatted panel behind a white reception desk in a Dubai office, warm downlights, straight-on wide view, fictional brand name, no real logos, no Flash Print Solution branding"
"p:reception-signage-dubai:detail","website/assets/images/products/reception-signage-dubai/","reception-signage-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a halo-lit metal letter casting a warm glow onto a grey wall","/reception-signage-dubai/","Close-up photograph of a brushed stainless steel reverse-lit letter mounted off a dark grey wall, warm white LED halo glowing around its edges, low ambient light, side angle showing the stand-off gap, fictional brand name, no real logos, no Flash Print Solution branding"
"p:reception-signage-dubai:application","website/assets/images/products/reception-signage-dubai/","reception-signage-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Clinic reception area with illuminated logo wall, white counter and waiting chairs","/reception-signage-dubai/","Realistic interior photograph of a modern Dubai clinic reception with a face-lit white acrylic logo on a pale green feature wall above a curved white counter, waiting chairs in the foreground, bright clean lighting, fictional brand name, no real logos, no Flash Print Solution branding"
"p:reception-signage-dubai:production","website/assets/images/products/reception-signage-dubai/","reception-signage-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:sign-fabrication)","Workshop fabrication of signage","/reception-signage-dubai/","Photorealistic commercial photograph of reception signage production: Workshop fabrication of signage — acrylic, aluminium composite panels and letters. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:wall-graphics-dubai:hero","website/assets/images/products/wall-graphics-dubai/","wall-graphics-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","White cut vinyl values lettering on a dark green office wall above a bench","/wall-graphics-dubai/","Realistic commercial photograph of white matt cut vinyl lettering spelling company values on a deep green painted wall above an upholstered bench in a Dubai office breakout area, soft daylight, straight-on view, fictional brand name, no real logos, no Flash Print Solution branding"
"p:wall-graphics-dubai:detail","website/assets/images/products/wall-graphics-dubai/","wall-graphics-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of matt cut vinyl letters showing crisp edges on a painted wall","/wall-graphics-dubai/","Macro photograph of matt white cut vinyl letters applied to a smooth charcoal painted wall, crisp edges and faint paint texture visible, raking side light, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding"
"p:wall-graphics-dubai:application","website/assets/images/products/wall-graphics-dubai/","wall-graphics-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Open-plan office breakout area with colourful printed wall graphics and lounge seating","/wall-graphics-dubai/","Realistic interior photograph of an open-plan Dubai office breakout area with colourful printed vinyl wall graphics of icons and a timeline, lounge seating and plants in front, bright natural light, wide angle, fictional brand name, no real logos, no Flash Print Solution branding"
"p:wall-graphics-dubai:production","website/assets/images/products/wall-graphics-dubai/","wall-graphics-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vinyl-installation)","Installer applying printed vinyl film to glass or wall with a squeegee","/wall-graphics-dubai/","Photorealistic commercial photograph of wall graphics production: Installer applying printed vinyl film to glass or wall with a squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:company-profile-printing-dubai:hero","website/assets/images/products/company-profile-printing-dubai/","company-profile-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","A4 company profile with soft-touch navy cover and spot UV logo on a desk","/company-profile-printing-dubai/","Realistic commercial photograph of an A4 portrait company profile for a fictional engineering firm, navy soft-touch laminated cover with a spot UV logo and title, lying at an angle on a grey stone desk with a second copy open behind, soft window light, fictional brand name, no real logos, no Flash Print Solution branding."
"p:company-profile-printing-dubai:detail","website/assets/images/products/company-profile-printing-dubai/","company-profile-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a perfect-bound profile spine with printed company name","/company-profile-printing-dubai/","Realistic macro photograph of the spine of a perfect-bound company profile showing a printed fictional company name, the edge of the soft-touch cover and crisp trimmed pages, soft side lighting on a white surface, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:company-profile-printing-dubai:application","website/assets/images/products/company-profile-printing-dubai/","company-profile-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Business meeting with an open printed company profile on a conference table","/company-profile-printing-dubai/","Realistic photograph of two professionals in a Dubai meeting room reviewing an open printed company profile showing project photography on a spread, conference table with laptops and coffee cups, city view through the window, natural daylight, over-the-shoulder angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:company-profile-printing-dubai:production","website/assets/images/products/company-profile-printing-dubai/","company-profile-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:binding)","Booklet binding / stitching and folding of multi-page printed documents","/company-profile-printing-dubai/","Photorealistic commercial photograph of company profile printing production: Booklet binding / stitching and folding of multi-page printed documents. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:corporate-identity-printing-dubai:hero","website/assets/images/products/corporate-identity-printing-dubai/","corporate-identity-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Corporate identity kit with business cards, letterhead, envelope and pocket folder in charcoal and copper","/corporate-identity-printing-dubai/","Realistic commercial photograph of a complete corporate identity kit for a fictional architecture studio, business cards, A4 letterhead, DL envelope, compliment slip and pocket folder in charcoal with copper foil, neatly arranged on a pale concrete surface, soft diffused light, top-down angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:corporate-identity-printing-dubai:detail","website/assets/images/products/corporate-identity-printing-dubai/","corporate-identity-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of copper foil logo on textured uncoated letterhead paper","/corporate-identity-printing-dubai/","Realistic macro photograph of a copper foil logo stamped on textured uncoated letterhead paper, raking light revealing the paper fibres and slight foil impression, shallow depth of field, neutral background, fictional brand name, no real logos, no Flash Print Solution branding."
"p:corporate-identity-printing-dubai:application","website/assets/images/products/corporate-identity-printing-dubai/","corporate-identity-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock — SHARED with cat:branding-identity (replace first)","Employee handing a business card to a visitor across an office reception desk","/corporate-identity-printing-dubai/","Realistic photograph of a smiling employee handing a business card to a visitor across a modern reception desk in a Dubai office, matching branded folder on the desk, warm natural light, medium shot focused on the hands and card, fictional brand name, no real logos, no Flash Print Solution branding."
"p:corporate-identity-printing-dubai:production","website/assets/images/products/corporate-identity-printing-dubai/","corporate-identity-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:offset-press)","Offset press run","/corporate-identity-printing-dubai/","Photorealistic commercial photograph of corporate identity kits production: Offset press run — operator checking a sheet at an offset printing press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:office-branding-dubai:hero","website/assets/images/products/office-branding-dubai/","office-branding-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Office reception with brushed metal logo letters on a timber feature wall","/office-branding-dubai/","Realistic interior photograph of a modern Dubai office reception with brushed metal 3D logo letters for a fictional investment firm mounted on a walnut timber feature wall, white reception desk in front, warm downlighting, wide eye-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:office-branding-dubai:detail","website/assets/images/products/office-branding-dubai/","office-branding-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Frosted glass film with cut-out pattern band on a meeting room partition","/office-branding-dubai/","Realistic close-up photograph of frosted glass film with a cut geometric pattern band and a small fictional logo on a glass meeting room partition, soft office lighting, a blurred meeting table visible behind, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:office-branding-dubai:application","website/assets/images/products/office-branding-dubai/","office-branding-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Open-plan office corridor with a large printed values wall mural","/office-branding-dubai/","Realistic interior photograph of an open-plan Dubai office corridor featuring a large printed wall mural with company values typography and abstract city illustration for a fictional tech company, matte finish, staff walking past, natural daylight from windows, wide angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:office-branding-dubai:production","website/assets/images/products/office-branding-dubai/","office-branding-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vinyl-installation)","Installer applying printed vinyl film to glass or wall with a squeegee","/office-branding-dubai/","Photorealistic commercial photograph of office branding production: Installer applying printed vinyl film to glass or wall with a squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:fleet-branding-dubai:hero","website/assets/images/products/fleet-branding-dubai/","fleet-branding-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Fleet of vans, a pick-up and a car sharing one green and white fictional livery","/fleet-branding-dubai/","Realistic commercial photograph of a mixed company fleet, two panel vans, a pick-up and a saloon, all carrying the same green and white livery for a fictional facilities company, lined up in a clean depot yard in Dubai, soft morning light, elevated three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:fleet-branding-dubai:detail","website/assets/images/products/fleet-branding-dubai/","fleet-branding-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Cut vinyl fleet number and hotline lettering on the rear door of a van","/fleet-branding-dubai/","Realistic close-up photograph of the rear door of a white van showing a cut vinyl fleet number and a fictional hotline in dark green lettering alongside a small printed logo, crisp edges, soft overcast daylight, straight-on angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:fleet-branding-dubai:application","website/assets/images/products/fleet-branding-dubai/","fleet-branding-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Branded service vans driving on a city road with matching livery","/fleet-branding-dubai/","Realistic photograph of two branded service vans with identical blue and white livery for a fictional maintenance company driving along a multi-lane road in Dubai, towers softly blurred in the background, golden hour light, panning motion effect, fictional brand name, no real logos, no Flash Print Solution branding."
"p:fleet-branding-dubai:production","website/assets/images/products/fleet-branding-dubai/","fleet-branding-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:quality-check)","Quality control","/fleet-branding-dubai/","Photorealistic commercial photograph of fleet branding production: Quality control — checking a printed proof against a colour swatch under lighting. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:vehicle-wrapping-dubai:hero","website/assets/images/products/vehicle-wrapping-dubai/","vehicle-wrapping-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","White panel van fully wrapped in teal and orange graphics for a fictional courier company","/vehicle-wrapping-dubai/","Realistic commercial photograph of a white panel van fully wrapped in teal and orange printed graphics for a fictional courier company, parked on a clean paved forecourt in Dubai, soft late afternoon light, three-quarter front angle, glossy laminate finish visible, fictional brand name, no real logos, no Flash Print Solution branding."
"p:vehicle-wrapping-dubai:detail","website/assets/images/products/vehicle-wrapping-dubai/","vehicle-wrapping-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of satin laminated wrap film stretched around the curve of a wing mirror","/vehicle-wrapping-dubai/","Realistic macro photograph of satin laminated printed wrap film stretched smoothly around the curve of a car wing mirror, showing a clean tucked edge and subtle texture of the laminate, soft diffused workshop lighting, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:vehicle-wrapping-dubai:application","website/assets/images/products/vehicle-wrapping-dubai/","vehicle-wrapping-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Pick-up truck with a full printed wrap parked outside a modern office building","/vehicle-wrapping-dubai/","Realistic photograph of a double-cab pick-up truck with a full printed wrap in navy and yellow for a fictional contracting company, parked outside a glass office building in Business Bay, Dubai, bright morning light, side-on angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:vehicle-wrapping-dubai:production","website/assets/images/products/vehicle-wrapping-dubai/","vehicle-wrapping-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vehicle-wrap-install)","Installer applying wrap film to a vehicle panel with a heat gun and squeegee","/vehicle-wrapping-dubai/","Photorealistic commercial photograph of full vehicle wrapping production: Installer applying wrap film to a vehicle panel with a heat gun and squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:partial-vehicle-wrapping-dubai:hero","website/assets/images/products/partial-vehicle-wrapping-dubai/","partial-vehicle-wrapping-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","White van with a rear half wrap in red graphics fading into the white paint","/partial-vehicle-wrapping-dubai/","Realistic commercial photograph of a white high-roof panel van with a partial wrap covering the rear half, red and charcoal graphics for a fictional plumbing company fading into the white paint by the front door, clean industrial backdrop, soft daylight, side-on angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:partial-vehicle-wrapping-dubai:detail","website/assets/images/products/partial-vehicle-wrapping-dubai/","partial-vehicle-wrapping-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock — SHARED with cat:vehicle-branding (replace first)","Edge of printed wrap film finished neatly along a van's body crease","/partial-vehicle-wrapping-dubai/","Realistic close-up photograph of the edge of a printed partial wrap finished neatly along a horizontal body crease on a white van, showing the laminate surface and the clean transition to paint, soft workshop lighting, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:partial-vehicle-wrapping-dubai:application","website/assets/images/products/partial-vehicle-wrapping-dubai/","partial-vehicle-wrapping-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Contractor pick-up with tailgate and rear quarter graphics parked at a construction site","/partial-vehicle-wrapping-dubai/","Realistic photograph of a white pick-up truck with printed partial wrap graphics on the tailgate and rear quarters for a fictional construction firm, parked at a Dubai construction site entrance with hoarding behind, bright midday light softened by haze, rear three-quarter view, fictional brand name, no real logos, no Flash Print Solution branding."
"p:partial-vehicle-wrapping-dubai:production","website/assets/images/products/partial-vehicle-wrapping-dubai/","partial-vehicle-wrapping-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:large-format-printer)","Wide-format inkjet printer printing a large graphic onto roll media","/partial-vehicle-wrapping-dubai/","Photorealistic commercial photograph of partial wraps production: Wide-format inkjet printer printing a large graphic onto roll media. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:reflective-sticker-printing-dubai:hero","website/assets/images/products/reflective-sticker-printing-dubai/","reflective-sticker-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Rear doors of a box truck with red and white reflective chevron markings","/reflective-sticker-printing-dubai/","Realistic commercial photograph of the rear doors of a white box truck fitted with red and white high-intensity reflective chevron panels and a small fictional company logo, parked in a logistics yard at dusk, lights catching the reflective film, straight-on angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:reflective-sticker-printing-dubai:detail","website/assets/images/products/reflective-sticker-printing-dubai/","reflective-sticker-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Macro view of prismatic reflective vinyl showing its honeycomb cell pattern","/reflective-sticker-printing-dubai/","Realistic macro photograph of yellow microprismatic reflective vinyl showing its fine honeycomb cell structure, a cut edge lifting slightly from the white backing liner, raking studio light creating sparkle, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:reflective-sticker-printing-dubai:application","website/assets/images/products/reflective-sticker-printing-dubai/","reflective-sticker-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Van at night with reflective fleet number and logo glowing in headlights","/reflective-sticker-printing-dubai/","Realistic night photograph of the rear of a white service van on a Dubai road, reflective fleet number and a fictional company logo glowing brightly in the headlights of the car behind, soft street lighting, low rear angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:reflective-sticker-printing-dubai:production","website/assets/images/products/reflective-sticker-printing-dubai/","reflective-sticker-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vinyl-plotter)","Vinyl cutting plotter cutting lettering/shapes from coloured vinyl, then weeding","/reflective-sticker-printing-dubai/","Photorealistic commercial photograph of reflective stickers production: Vinyl cutting plotter cutting lettering/shapes from coloured vinyl, then weeding. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:barcode-label-printing-dubai:hero","website/assets/images/products/barcode-label-printing-dubai/","barcode-label-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Roll of white barcode labels with black codes resting on a warehouse workbench","/barcode-label-printing-dubai/","Realistic commercial product photograph of a roll of white barcode labels with crisp black EAN codes on a clean warehouse workbench, soft daylight from a high window, shallow depth of field, 45-degree angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:barcode-label-printing-dubai:detail","website/assets/images/products/barcode-label-printing-dubai/","barcode-label-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a brushed silver polyester asset tag with a barcode and serial number","/barcode-label-printing-dubai/","Macro product photograph of a brushed silver polyester asset tag with a black Code 128 barcode and printed serial number, applied to a grey laptop base, crisp raking light showing the metallic texture, fictional brand name, no real logos, no Flash Print Solution branding."
"p:barcode-label-printing-dubai:application","website/assets/images/products/barcode-label-printing-dubai/","barcode-label-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Warehouse worker scanning a barcode label on a cardboard carton with a handheld scanner","/barcode-label-printing-dubai/","Realistic documentary-style photograph of a warehouse worker in a Dubai distribution centre scanning a printed barcode label on a cardboard carton with a handheld scanner, racking in the background, natural industrial lighting, eye-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
